sale_date,sale_month,sale_quarter,sale_year,block,floor,floor_decade,area_ft,area_m,price
8-Jan-14,2014-01,2014Q1,2014,8,49,4x,667,62,1543000
18-Nov-15,2015-11,2015Q4,2015,8,49,4x,700,65,1633000
28-Apr-11,2011-04,2011Q2,2011,8,50,5x,700,65,1699000
18-Nov-11,2011-11,2011Q4,2011,8,50,5x,667,62,1551000
16-Aug-12,2012-08,2012Q3,2012,8,50,5x,700,65,1641000
22-Oct-12,2012-10,2012Q4,2012,8,50,5x,398,37,1051000
17-Jan-13,2013-01,2013Q1,2013,8,50,5x,398,37,1048000
12-Jan-15,2015-01,2015Q1,2015,8,51,5x,667,62,1559000
27-May-15,2015-05,2015Q2,2015,8,51,5x,398,37,1090000
16-Jun-11,2011-06,2011Q2,2011,8,52,5x,398,37,1058000
30-Jun-11,2011-06,2011Q2,2011,8,52,5x,398,37,1062000
26-Jun-14,2014-06,2014Q2,2014,8,52,5x,700,65,1656000
13-Apr-11,2011-04,2011Q2,2011,8,53,5x,700,65,1698000
27-Jan-14,2014-01,2014Q1,2014,8,53,5x,398,37,1105000
16-Dec-14,2014-12,2014Q4,2014,8,53,5x,667,62,1574000
6-Jan-16,2016-01,2016Q1,2016,8,53,5x,366,34,998000
3-Jun-11,2011-06,2011Q2,2011,8,54,5x,398,37,1067000
23-Jun-11,2011-06,2011Q2,2011,8,54,5x,667,62,1582000
16-Nov-11,2011-11,2011Q4,2011,8,54,5x,700,65,1676000
23-Oct-12,2012-10,2012Q4,2012,8,54,5x,398,37,1073000
9-Jun-11,2011-06,2011Q2,2011,8,55,5x,398,37,1088000
27-Jun-11,2011-06,2011Q2,2011,8,55,5x,398,37,1094000
22-Jun-11,2011-06,2011Q2,2011,8,60,6x,506,47,1427000
24-Mar-11,2011-03,2011Q1,2011,8,61,6x,958,89,2354000
14-Apr-11,2011-04,2011Q2,2011,8,61,6x,1012,94,2504000
10-Mar-17,2017-03,2017Q1,2017,8,61,6x,1012,94,2680000
6-Apr-11,2011-04,2011Q2,2011,8,62,6x,1012,94,2565000
7-Apr-11,2011-04,2011Q2,2011,8,62,6x,1012,94,2517000
5-Oct-12,2012-10,2012Q4,2012,8,63,6x,958,89,2383000
2-Apr-13,2013-04,2013Q2,2013,8,63,6x,1012,94,2626000
13-Jul-11,2011-07,2011Q3,2011,8,66,6x,1012,94,2668000
30-Dec-15,2015-12,2015Q4,2015,8,66,6x,1012,94,2570000
4-Nov-16,2016-11,2016Q4,2016,8,67,6x,958,89,2450000
17-Apr-14,2014-04,2014Q2,2014,8,70,7x,1012,94,2850000
